epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4791,1.31868,2.67552,1.45819,0.50006,0.66095,0.62825,0.35008,1.50038,1.87275,1.48421,0.000236237,0.000236237,0.000236237
2,73.0597,1.39501,1.99531,1.46805,0.53059,0.60081,0.55829,0.2765,1.63055,1.72288,1.67614,0.000464847,0.000464847,0.000464847
3,100.796,1.44313,2.01407,1.50275,0.35471,0.53225,0.42232,0.21338,1.76928,2.24903,1.83464,0.000684032,0.000684032,0.000684032
4,128.552,1.44788,1.86913,1.51688,0.53036,0.57015,0.55293,0.29347,1.69964,1.73611,1.68351,0.000671588,0.000671588,0.000671588
5,156.362,1.44119,1.78421,1.48908,0.5415,0.57897,0.57908,0.30451,1.65057,1.62176,1.62202,0.000657451,0.000657451,0.000657451
6,184.216,1.40511,1.61828,1.46289,0.53586,0.69183,0.65936,0.36775,1.52144,1.41124,1.56987,0.000643314,0.000643314,0.000643314
7,212.454,1.36028,1.51497,1.43818,0.72844,0.71834,0.76824,0.44797,1.47972,1.22653,1.5063,0.000629177,0.000629177,0.000629177
8,241.318,1.33797,1.40575,1.42024,0.67504,0.69925,0.74063,0.42177,1.59098,1.35495,1.62075,0.00061504,0.00061504,0.00061504
9,265.329,1.32731,1.33775,1.39929,0.64711,0.75244,0.79073,0.45662,1.47405,1.23642,1.50162,0.000600902,0.000600902,0.000600902
10,290.485,1.29289,1.26796,1.38218,0.73978,0.74397,0.79798,0.46409,1.449,1.16746,1.47645,0.000586765,0.000586765,0.000586765
11,315.142,1.25896,1.18654,1.36092,0.72085,0.70783,0.7826,0.44737,1.45581,1.17439,1.50356,0.000572628,0.000572628,0.000572628
12,336.621,1.2494,1.15495,1.34679,0.73851,0.77014,0.79887,0.44984,1.48511,1.12441,1.5057,0.000558491,0.000558491,0.000558491
13,358.349,1.24389,1.09749,1.34877,0.72502,0.78596,0.82591,0.49095,1.43661,1.11084,1.43508,0.000544354,0.000544354,0.000544354
14,379.841,1.22072,1.05635,1.31886,0.74354,0.75592,0.81332,0.46096,1.45545,1.06336,1.49719,0.000530216,0.000530216,0.000530216
15,401.963,1.20338,1.0053,1.32858,0.79382,0.76172,0.81799,0.49966,1.40479,1.06288,1.44111,0.000516079,0.000516079,0.000516079
16,422.901,1.19216,0.9722,1.30693,0.73863,0.78577,0.83838,0.50957,1.37548,1.0209,1.42152,0.000501942,0.000501942,0.000501942
17,444.331,1.18631,0.92618,1.30396,0.7655,0.77178,0.82158,0.50033,1.3899,1.05375,1.43684,0.000487805,0.000487805,0.000487805
18,464.945,1.16583,0.8986,1.29718,0.73988,0.8061,0.83093,0.51508,1.38269,1.01959,1.43601,0.000473668,0.000473668,0.000473668
19,486.1,1.16072,0.8764,1.2837,0.80348,0.75842,0.84967,0.5188,1.38678,0.959,1.42675,0.00045953,0.00045953,0.00045953
20,507.789,1.13658,0.83849,1.26769,0.80333,0.82348,0.88122,0.54126,1.36844,0.91174,1.42134,0.000445393,0.000445393,0.000445393
21,528.566,1.12399,0.81675,1.26342,0.77475,0.82722,0.87923,0.54777,1.34748,0.94822,1.38678,0.000431256,0.000431256,0.000431256
22,549.415,1.11458,0.7923,1.25442,0.808,0.81118,0.88294,0.54943,1.35524,0.89659,1.41748,0.000417119,0.000417119,0.000417119
23,570.502,1.0912,0.76849,1.24829,0.80211,0.80866,0.88089,0.56409,1.3316,0.92567,1.37701,0.000402982,0.000402982,0.000402982
24,592.411,1.07653,0.73488,1.23721,0.83426,0.78544,0.88231,0.55727,1.34852,0.90045,1.39179,0.000388844,0.000388844,0.000388844
25,613.444,1.0831,0.74268,1.22706,0.82528,0.79604,0.87865,0.54336,1.3872,0.94332,1.41997,0.000374707,0.000374707,0.000374707
26,634.384,1.06758,0.7115,1.22063,0.82763,0.84932,0.90071,0.56801,1.33676,0.82512,1.37573,0.00036057,0.00036057,0.00036057
27,655.1,1.06828,0.69836,1.21284,0.82479,0.82282,0.88649,0.55345,1.37068,0.86128,1.4095,0.000346433,0.000346433,0.000346433
28,675.946,1.05415,0.6745,1.20723,0.87067,0.81689,0.89439,0.56692,1.3245,0.81703,1.37004,0.000332296,0.000332296,0.000332296
29,696.77,1.01737,0.64045,1.1927,0.82555,0.85463,0.90176,0.57472,1.31494,0.81762,1.37662,0.000318158,0.000318158,0.000318158
30,717.605,1.00823,0.63639,1.19049,0.84649,0.834,0.90426,0.57063,1.33875,0.81936,1.38967,0.000304021,0.000304021,0.000304021
31,738.807,1.00056,0.6207,1.17229,0.8396,0.85542,0.89525,0.56731,1.33175,0.81041,1.3877,0.000289884,0.000289884,0.000289884
32,759.647,0.98405,0.60342,1.16663,0.81494,0.85813,0.90043,0.57779,1.32857,0.79207,1.37783,0.000275747,0.000275747,0.000275747
33,780.589,0.97896,0.60024,1.16253,0.81396,0.87235,0.90902,0.5874,1.31291,0.77321,1.38768,0.00026161,0.00026161,0.00026161
34,804.779,0.96392,0.56898,1.15106,0.87007,0.80968,0.89961,0.57603,1.3283,0.82486,1.37191,0.000247472,0.000247472,0.000247472
35,830.764,0.94343,0.53993,1.14362,0.81853,0.8535,0.89107,0.57435,1.32197,0.86305,1.38965,0.000233335,0.000233335,0.000233335
36,855.992,0.93258,0.53826,1.14248,0.84007,0.83434,0.88674,0.56553,1.33247,0.82158,1.39802,0.000219198,0.000219198,0.000219198
37,880.961,0.92374,0.516,1.13114,0.84595,0.83069,0.90028,0.58229,1.31493,0.82365,1.3851,0.000205061,0.000205061,0.000205061
38,905.767,0.92338,0.52154,1.13455,0.87131,0.8207,0.90763,0.5853,1.32633,0.83949,1.38669,0.000190924,0.000190924,0.000190924
39,930.674,0.88989,0.49805,1.11329,0.84691,0.81913,0.88616,0.57481,1.31586,0.85747,1.38485,0.000176786,0.000176786,0.000176786
40,955.506,0.88833,0.48766,1.10655,0.83049,0.842,0.89609,0.5801,1.32729,0.81651,1.39736,0.000162649,0.000162649,0.000162649
41,981.156,0.85231,0.46563,1.09776,0.83308,0.86443,0.89729,0.58033,1.31922,0.80584,1.38815,0.000148512,0.000148512,0.000148512
42,1006.43,0.85759,0.46156,1.09294,0.87007,0.83825,0.89443,0.58195,1.3156,0.86411,1.39235,0.000134375,0.000134375,0.000134375
43,1032.22,0.82943,0.44929,1.07205,0.87442,0.82121,0.89852,0.58541,1.31937,0.82913,1.39542,0.000120238,0.000120238,0.000120238
44,1058.14,0.81692,0.43901,1.06978,0.85455,0.846,0.904,0.58634,1.32775,0.80534,1.40795,0.0001061,0.0001061,0.0001061
45,1084.88,0.80195,0.42516,1.06041,0.87582,0.83512,0.90054,0.57975,1.33749,0.80658,1.42334,9.19632e-05,9.19632e-05,9.19632e-05
46,1109.79,0.79196,0.42136,1.05387,0.86618,0.832,0.89925,0.58242,1.35201,0.80234,1.43507,7.7826e-05,7.7826e-05,7.7826e-05
47,1135.29,0.77505,0.40617,1.04925,0.87471,0.84595,0.90204,0.58037,1.36113,0.78959,1.44381,6.36888e-05,6.36888e-05,6.36888e-05
48,1160.55,0.77618,0.39823,1.04247,0.89052,0.83669,0.90489,0.58004,1.34801,0.80062,1.43638,4.95516e-05,4.95516e-05,4.95516e-05
49,1186.22,0.75755,0.39012,1.03838,0.88784,0.84222,0.90815,0.58594,1.35981,0.80423,1.44504,3.54144e-05,3.54144e-05,3.54144e-05
50,1211.5,0.73883,0.3852,1.03568,0.88938,0.84252,0.9071,0.58521,1.35588,0.80141,1.44582,2.12772e-05,2.12772e-05,2.12772e-05
